name,postal_code,stars,review_count,is_open
Cold Stone Creamery,85032,3.5,37,1
House of Blunt's Smoke Shop,85008,5,5,0
Copper Square Cafe,85004,,3,0
Wang’s Express,85032,3.5,108,0
Safeway,85051,3,22,0
Carl's Jr 7091,85022,2,29,1
Carniceria Mi Casita,85015,3.5,3,1
The Dipping Well,85041,4,4,0
Abby's Grill-Cafe,85022,3,5,0
Taste Of Honduras,85021,4,15,1
AZ Deli Company,85012,3.5,4,1
Stella,85016,3.5,59,0
Dark Hall Coffee,85013,4.5,107,1
Fuego Bistro,85014,4.5,746,1
Logan's Roadhouse,85085,3,196,0
E-san Sab Sab Thai Cuisine,85020,3.5,84,0
Safeway,85048,3.5,17,1
QuikTrip,85029,4,7,1
Athens Pita & Greek Grill,85004,3,25,0
Silver Spoon Cafe,85004,3.5,9,0
Wendy's,85023,2,25,1
Burger Shoppe,85009,4,4,0
D'licious Dishes,85013,4.5,45,0
Custom Food Service,85034,3.5,3,1
Panera Bread,85034,2,55,1
The Play Factory,85050,2.5,116,0
Fiddler's Dream Coffee House,85020,4,8,1
La Mirage,85053,,3,0
La Piñata,85015,4,137,0
Safeway Food & Drug,85020,2.5,12,1
Don Taco Mobile Taco Stand,85032,4.5,7,1
Starbucks,85007,1.5,19,1
Lucky's Burgers & Hotdog Grill,85054,4,99,0
Valero Corner Store 1654,85044,4,3,0
Zax Cafe,85021,4,15,0
Starbucks,85023,4,13,1
Sky Lounge,85004,2.5,35,0
Filiberto's Mexican Food,85031,3.5,5,1
LaBella Pizzeria and Restaurant,85014,4,116,1
Gigi's Cupcakes of Phoenix,85018,3,56,0
Scooptopia,85012,5,47,1
La Canasta Mexican Foods,85003,3.5,198,1
Burger Factory,85013,3.5,132,1
Waffle Taco,85019,4,6,1
L.A. Roots,85048,4.5,5,1
Appetite Xpress,85013,4,6,0
Los Compadres,85021,3,106,0
Subway Restaurants,85042,2.5,7,1
Otro Cafe,85014,4,,1
Uptown Plaza,85012,5,5,1
Papa John's,85040,3,22,1
Mariscos Vuelve a La Vida,85006,3.5,14,0
Tariq Restaurant,85008,4,7,0
Sky Cafe,85040,3.5,3,1
Sharks Market,85032,4,4,1
Rice Paper on 7th,85006,4,180,1
Burger King,85020,1.5,19,1
El Burrito Grande,85009,4.5,7,0
Red Mango,85054,4,14,0
Cold Beers & Cheeseburgers,85014,3.5,355,1
Quiznos,85024,3,20,1
Starbucks,85014,3,55,1
T&J Gyro and Burger,85027,3.5,3,0
Rev Cafe,85040,3.5,,1
Safeway,85027,3.5,8,0
Einstein Bros Bagels,85003,2,48,1
Restaurante Y Pupuseria Los 3 Hermanos,85015,4.5,11,1
Eye Opener Family Restaurant,85021,3,32,0
Taste of India,85022,2,25,0
Asahi Bakery,85016,4.5,96,1
St. Mary's Food Bank,85009,4,30,1
